full_name,salary2,yearID,,,,,,,,,,,,,,,,,,,,,,
Greg Norton,"$285,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Geoff Jenkins,"$282,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Lorenzo Cain,"$280,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Gabe Kapler,"$280,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Troy Glaus,"$275,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Raul Ibanez,"$275,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Carlos Lee,"$275,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Tony Graffanino,"$270,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Trot Nixon,"$270,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Michael Barrett,"$265,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Orlando Cabrera,"$265,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Kevin Millar,"$265,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Erubiel Durazo,"$260,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Olmedo Saenz,"$260,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Mike Lowell,"$255,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Bubba Trammell,"$253,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Ron Belliard,"$250,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Carlos Febles,"$250,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Mark L. Johnson,"$250,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Shane Spencer,"$250,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Richie Sexson,"$247,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Corey Koskie,"$245,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Eric Chavez,"$240,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Sal Fasano,"$240,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Ricky Ledee,"$240,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Eli Marrero,"$240,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Einar Diaz,"$237,500 ",2000,,,,,,,,,,,,,,,,,,,,,,
Daryle Ward,"$237,500 ",2000,,,,,,,,,,,,,,,,,,,,,,
Shane Halter,"$236,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Henry Blanco,"$235,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Enrique Wilson,"$232,500 ",2000,,,,,,,,,,,,,,,,,,,,,,
Cristian Guzman,"$230,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Aramis Ramirez,"$230,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Jeremy Giambi,"$228,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Benji Gil,"$225,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Torii Hunter,"$225,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Jacque Jones,"$225,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Derrek Lee,"$225,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Jeff Liefer,"$225,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Armando Rios,"$225,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Brian Simmons,"$225,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Craig Wilson,"$225,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Ramon E. Martinez,"$220,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
David Ortiz,"$220,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Wily Mo Pena,"$220,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Placido Polanco,"$220,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Charles Gipson,"$215,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Doug Mirabelli,"$215,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Jay Payton,"$215,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Wilson Delgado,"$213,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
McKay Christensen,"$212,500 ",2000,,,,,,,,,,,,,,,,,,,,,,
Ramon Hernandez,"$211,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Geoff Blum,"$210,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Bobby Estalella,"$210,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Benjie Molina,"$210,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Melvin Mora,"$210,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Wiki Gonzalez,"$208,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Carlos Guillen,"$205,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Jerry Hairston Jr.,"$205,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Chad Hermanson,"$205,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Mark Quinn,"$205,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Chris Woodward,"$205,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Gene Kingsale,"$203,500 ",2000,,,,,,,,,,,,,,,,,,,,,,
David Newhan,"$203,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Rick Ankiel,"$202,500 ",2000,,,,,,,,,,,,,,,,,,,,,,
Adam Kennedy,"$202,500 ",2000,,,,,,,,,,,,,,,,,,,,,,
Calvin Murray,"$202,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Peter Bergeron,"$201,500 ",2000,,,,,,,,,,,,,,,,,,,,,,
Jesse Garcia,"$201,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Frank Menechino,"$201,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Eliezer Alfonzo,"$200,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Doug Clark,"$200,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Brian Dallimore,"$200,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Jeffrey DaVanon,"$200,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Rob Fick,"$200,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Rafael Furcal,"$200,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Travis Ishikawa,"$200,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
D'Angelo Jimenez,"$200,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Nick Johnson,"$200,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Matt LeCroy,"$200,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Josh Paul,"$200,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Julio Ramirez,"$200,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Damian Rolls,"$200,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
